feature,feature_group,mean_abs_shap_log_points,mean_signed_shap_log_points,mean_abs_rank,importance_share
year,year/time,0.3471919363906457,-0.006072025321637288,1,0.32338830208726205
wmean_ndvi_peak,vegetation,0.26629012437262567,0.0030506411048585418,2,0.24803315445257393
dist_urban_cell_share_thr02,urbanisation,0.09839614571848776,-0.005341901993283995,3,0.09165006199922188
wmean_evi_mean,vegetation,0.09104521601868953,0.0059021055092279414,4,0.08480311532444125
wmean_frac_urban,urbanisation,0.07105139211841525,0.00024173312340432248,5,0.06618007692510929
pop_sum_grid_log1p,population,0.062364598727156065,-0.00012433519359975046,6,0.05808885397049159
wmean_frac_cropland,land cover,0.03801607767440271,-0.00510173572299304,7,0.03540967840137255
wmean_slope,topography,0.037752524472258915,-0.005819472017631199,8,0.0351641945245378
wmean_frac_forest,land cover,0.025464522503793777,0.004395348858336684,9,0.023718663461985333
wmean_elevation,topography,0.022019494513013913,-0.0010345840317390184,10,0.020509828129681204
wmean_ndvi_range,vegetation,0.014014941366024049,0.008066134678162215,11,0.01305407072332329
